trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
102,False,"{'a': 0.5, 'e': 0.49499999999999955}",20,0,-24.87578807577442,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
103,False,"{'a': 0.5, 'e': 0.48999999999999955}",25,0,-27.464262967551733,"{0: 20, 1: 1, 2: 3, 3: 1, 4: 0}",0
104,False,"{'a': 0.5, 'e': 0.48499999999999954}",30,0,-37.18374119170397,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
105,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,0,2.9597997292007525,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.47499999999999953}",30,12,19.6154247952499,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.5, 'e': 0.46999999999999953}",25,0,-7.480355686621271,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
108,False,"{'a': 0.5, 'e': 0.4649999999999995}",20,0,-58.90847055193633,"{0: 16, 1: 0, 2: 2, 3: 1, 4: 1}",0
109,False,"{'a': 0.5, 'e': 0.4599999999999995}",35,20,-99.68214341657325,"{0: 10, 1: 1, 2: 1, 3: 1, 4: 2}",1
110,False,"{'a': 0.5, 'e': 0.4549999999999995}",25,0,-71.54472631781877,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
111,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,0,-37.47969569864351,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
112,False,"{'a': 0.5, 'e': 0.4449999999999995}",20,8,-71.65577399245143,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 1}",1
113,False,"{'a': 0.5, 'e': 0.4399999999999995}",25,7,-29.70719590910584,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.4349999999999995}",20,2,-49.566394048485066,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 2}",1
115,False,"{'a': 0.5, 'e': 0.4299999999999995}",35,18,-16.672212216087182,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
116,False,"{'a': 0.5, 'e': 0.4249999999999995}",35,18,-35.89013369577702,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
117,False,"{'a': 0.5, 'e': 0.4199999999999995}",20,0,-65.98862838231582,"{0: 14, 1: 2, 2: 2, 3: 1, 4: 1}",0
118,False,"{'a': 0.5, 'e': 0.4149999999999995}",25,2,-39.258246731600295,"{0: 20, 1: 0, 2: 1, 3: 1, 4: 1}",1
119,False,"{'a': 0.5, 'e': 0.4099999999999995}",20,10,1.2066884043886716,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.5, 'e': 0.40499999999999947}",20,3,-34.847929352410645,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
121,False,"{'a': 0.5, 'e': 0.39999999999999947}",20,7,-1.947217220453459,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
122,False,"{'a': 0.5, 'e': 0.39499999999999946}",30,0,-25.730955294382337,"{0: 23, 1: 3, 2: 4, 3: 0, 4: 0}",1
123,False,"{'a': 0.5, 'e': 0.38999999999999946}",20,5,-6.746593683448748,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.5, 'e': 0.38499999999999945}",20,14,-0.22348731950383494,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.37999999999999945}",20,4,-38.297186339967205,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
126,False,"{'a': 0.5, 'e': 0.37499999999999944}",20,0,21.52508610729609,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
127,False,"{'a': 0.5, 'e': 0.36999999999999944}",25,15,8.312726363035182,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.5, 'e': 0.36499999999999944}",20,16,8.653452308845406,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.35999999999999943}",20,1,-0.19662647896302365,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
130,False,"{'a': 0.5, 'e': 0.3549999999999994}",25,13,-31.056262966867568,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
131,False,"{'a': 0.5, 'e': 0.3499999999999994}",30,9,-28.419964685424677,"{0: 17, 1: 1, 2: 1, 3: 2, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.3449999999999994}",20,0,-20.53108616552966,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
133,False,"{'a': 0.5, 'e': 0.3399999999999994}",20,10,-4.140017579809378,"{0: 7, 1: 2, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.3349999999999994}",20,3,-17.122572523962038,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 0}",1
135,False,"{'a': 0.5, 'e': 0.3299999999999994}",25,3,10.478581310962493,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
136,False,"{'a': 0.5, 'e': 0.3249999999999994}",25,11,-29.83613530238849,"{0: 11, 1: 2, 2: 0, 3: 0, 4: 1}",1
137,False,"{'a': 0.5, 'e': 0.3199999999999994}",30,0,17.332975157853735,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
138,False,"{'a': 0.5, 'e': 0.3149999999999994}",20,11,-26.31735819247795,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
139,False,"{'a': 0.5, 'e': 0.3099999999999994}",25,7,-10.071857699942186,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 1}",1
140,False,"{'a': 0.5, 'e': 0.3049999999999994}",20,16,8.011730569249629,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.2999999999999994}",20,0,-50.70053652499711,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
142,False,"{'a': 0.5, 'e': 0.2949999999999994}",25,18,13.429937656737014,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.28999999999999937}",30,20,7.529080316082264,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.28499999999999936}",25,20,11.166838529180456,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.5, 'e': 0.27999999999999936}",20,12,-26.420131759966196,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
146,False,"{'a': 0.5, 'e': 0.27499999999999936}",25,11,19.286425951894977,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.26999999999999935}",25,13,21.87234506934002,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.26499999999999935}",20,5,23.897684038505883,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.25999999999999934}",30,16,14.110377173535122,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.5, 'e': 0.25499999999999934}",20,0,-10.22470237617891,"{0: 17, 1: 1, 2: 1, 3: 1, 4: 0}",0
151,False,"{'a': 0.5, 'e': 0.24999999999999933}",20,11,16.498417125590834,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.5, 'e': 0.24499999999999933}",20,11,-6.068135920605252,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.23999999999999932}",20,15,-0.24926416282262642,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.23499999999999932}",25,0,-14.534483092601564,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 1}",0
155,False,"{'a': 0.5, 'e': 0.22999999999999932}",25,0,-2.5652279817518844,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
156,False,"{'a': 0.5, 'e': 0.2249999999999993}",25,0,7.631997564616863,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
157,False,"{'a': 0.5, 'e': 0.2199999999999993}",25,17,7.1134948660187725,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.2149999999999993}",20,13,3.160766863914863,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.5, 'e': 0.2099999999999993}",20,6,-8.802575093632992,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.2049999999999993}",30,6,17.585228029561666,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 0}",1
